HO;KOR;TOMEG;TESTH;SZORH
198;10;0.7;17.5;103;3
199;12;0.75;13;103.5;3.3
200;5;1;19;104;2
201;1;6;21;104;2.3
202;10;10;20.5;104;3
203;11;0.6;15;104;3.5
204;5;1;19;104.5;3.5
205;7;14;20;105;2.6
206;4;0.9;15;105;3.5
207;6;11;22;106;2.4
208;12;11;23;106;2.5
209;7;9;22;106;2.6
210;2;9;17.5;106;3.3
211;1;0.9;18.5;106;3.8
212;1;10;25;106;3.8
213;2;0.75;16.5;106;4
214;4;1;16;106;4.2
215;3;0.8;21;106;4.4
216;1;0.7;18.5;106.5;4.2
217;10;0.5;18.5;107;3
218;4;1;19.6;107;3.5
219;5;1;18.5;107;3.6
220;4;3.5;20.5;107;4.1
221;11;0.6;15;107.5;3.2
222;2;0.8;15.5;108;3.2
223;3;4.5;27;108;3.3
224;7;1.2;20;108;3.3
225;3;1;17;108;3.8
226;3;0.9;16.6;108.5;3.8
227;5;1;21.6;109;3
228;6;1;17.7;109;3
229;5;1;19;109;3.3
230;10;2.5;21;109;3.4
231;3;3;20.5;109;3.8
232;11;5;22.5;109;4
233;12;8.5;21.5;109;4
234;4;3.5;23;109;4.9
235;4;11;27.5;110;3.2
236;3;2;19.7;110;3.6
237;2;11;21;110;3.8
238;4;10;27;110.5;2.8
239;2;3;23;110.8;4
240;5;7;28;111;3
241;1;0.8;17;111;3.5
242;3;6;23;111;3.5
243;2;8.5;21.8;111;4
244;7;1.2;23;111.5;2.8
245;5;4;23;111.5;3.2
246;3;3.5;22.8;111.5;3.5
247;2;1.5;15;111.5;3.8
248;10;2.5;23;112;2
249;10;3;21;112;2.5
250;5;11;21;112;2.6
251;12;11;23;112;2.8
252;5;0.9;19.5;112;3
253;4;1;21;112;3.5
254;3;10;20;112;4
255;3;3.5;27.5;112.5;4.1
256;6;10;17.2;113;3
257;1;5.5;23.4;113;3.5
258;2;5;24.7;113;3.5
259;2;11;23.7;113;3.8
260;2;3;21.8;113;3.8
261;3;5.5;24;113;3.8
262;8;1.5;20;113.5;2.5
263;1;7;23;113.5;3.8
264;9;5;22;113.5;4.5
265;10;1.5;20;114;2.2
266;11;7.5;26;114;2.9
267;11;1.5;22.7;114;3.4
268;4;10;25;114;3.5
269;5;3.5;25.5;114;3.5
270;12;11;28.5;114;3.5
271;4;0.9;20.5;114;4
272;1;8.5;24.5;114.5;3.4
273;3;3;25.2;114.5;3.8
274;12;3.5;25.3;114.5;4
275;2;11;24.5;115;3.2
276;2;10;25;115;3.6
277;1;1.5;21.3;115;3.7
